2024-03-04 14:26:42,286 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Configure stats pid to 2766008
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Loading settings from /cephyr/users/aeerik/Alvis/.config/wandb/settings
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Loading settings from /cephyr/users/aeerik/Alvis/base/wandb/settings
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program_abspath': '/cephyr/users/aeerik/Alvis/base/run.py', 'program': '/cephyr/users/aeerik/Alvis/base/run.py'}
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_init.py:_log_setup():526] Logging user logs to /cephyr/users/aeerik/Alvis/base/wandb/run-20240304_142642-6z5m3qwm/logs/debug.log
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_init.py:_log_setup():527] Logging internal logs to /cephyr/users/aeerik/Alvis/base/wandb/run-20240304_142642-6z5m3qwm/logs/debug-internal.log
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_init.py:init():566] calling init triggers
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'epochs': 100, 'batch_size': 32, 'num_heads': 8, 'num_encoders': 3, 'emb_dim': 256, 'ff_dim': 256, 'lr': 1e-05, 'weight_decay': 0.1, 'vocab_size': 1211, 'num_parameters': 7529147}
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_init.py:init():616] starting backend
2024-03-04 14:26:42,287 INFO    MainThread:2766008 [wandb_init.py:init():620] setting up manager
2024-03-04 14:26:42,288 INFO    MainThread:2766008 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-04 14:26:42,289 INFO    MainThread:2766008 [wandb_init.py:init():628] backend started and connected
2024-03-04 14:26:42,291 INFO    MainThread:2766008 [wandb_init.py:init():720] updated telemetry
2024-03-04 14:26:42,295 INFO    MainThread:2766008 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-04 14:26:42,745 INFO    MainThread:2766008 [wandb_run.py:_on_init():2262] communicating current version
2024-03-04 14:26:42,832 INFO    MainThread:2766008 [wandb_run.py:_on_init():2271] got version response 
2024-03-04 14:26:42,832 INFO    MainThread:2766008 [wandb_init.py:init():804] starting run threads in backend
2024-03-04 14:26:46,038 INFO    MainThread:2766008 [wandb_run.py:_console_start():2241] atexit reg
2024-03-04 14:26:46,038 INFO    MainThread:2766008 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-04 14:26:46,039 INFO    MainThread:2766008 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-04 14:26:46,039 INFO    MainThread:2766008 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-04 14:26:46,039 INFO    MainThread:2766008 [wandb_init.py:init():847] run started, returning control to user process
2024-03-04 14:26:46,040 INFO    MainThread:2766008 [wandb_watch.py:watch():51] Watching
2024-03-04 14:27:16,466 WARNING MsgRouterThr:2766008 [router.py:message_loop():77] message_loop has been closed
